id,en,uk
NONE,,
BED_TEST_LEVEL_PROMPT,Go to test level sleep,Піти поспати на тестовий рівень
DOOR_OPEN_PROMPT,Open door,Відчинити двері
DOOR_LOCKED_PROMPT,Door is locked,Двері замкнені
DOOR_ITEM_KEY_PROMPT,Locked with key,Замкнені ключем
DOOR_HAS_ITEM_KEY_PROMPT,Use key,Використати ключ
DOOR_ITEM_RED_KEY_PROMPT,Locked with red key,Замкнені червоним ключем
DOOR_HAS_ITEM_RED_KEY_PROMPT,Use red key,Використати червоний ключ
DOOR_ITEM_WHITE_KEY_PROMPT,Locked with white key,Замкнені білим ключем
DOOR_HAS_ITEM_WHITE_KEY_PROMPT,Use white key,Використати білий ключ
SCREEN_LEVEL1_DESK_PROMPT,Examine the board,Оглянути дошку
SCREEN_LEVEL1_TABLE_PROMPT,Examine the table,Оглянути стіл
SCREEN_LEVEL1_SAFE_PROMPT,Examine the safe,Оглянути сейф
LEVEL1_PROMPT_PICKED_RED_KEY,I picked up red key,Я підібрав червоний ключ
BED_SLEEP_PROMPT,Sleep,Спати
BED_COMPLETE_PROMPT,Wake up,Прокинутися
DOOR_COMPLETE_1_PROMPT,I have to sleep,Мені потрібно поспати
DOOR_CURSE_PROMPT,I can't go there,Мені туди не можна
LEVEL2_CAESAR_HINT_PROMPT,Examine the wall,Оглянути стіну
CABIN_LOCKED_PROMPT,Locked,Замкнена
ITEM_WHITE_KEY_PROMPT,Pick up white key,Підібрати білий ключ
ITEM_HAS_WHITE_KEY_PROMPT,I already have white key,У мене вже є білий ключ
DOOR_CODE_LOCKED_PROMPT,Locked by code,Замкнені кодом
SCREEN_UNLOCK_KEYCODE_PROMPT,Unlock door,Відімкнути двері
ITEM_RED_KEY_PROMPT,Pick up red key,Підібрати червоний ключ
ITEM_HAS_RED_KEY_PROMPT,I already have red key,У мене вже є червоний ключ
ITEM_YELLOW_KEY_PROMPT,Pick up yellow key,Підібрати жовтий ключ
ITEM_HAS_YELLOW_KEY_PROMPT,I already have yellow key,У мене вже є жовтий ключ
DOOR_ITEM_YELLOW_KEY_PROMPT,Locked with yellow key,Замкнені жовтим ключем
DOOR_HAS_ITEM_YELLOW_KEY_PROMPT,Use yellow key,Використати жовтий ключ
BED_DIE_PROMPT,Sleep forever,Заснути назавжди
BED_WAKE_UP_LAST,WAKE UP,ПРОКИНУТИСЯ